Timestamp,Latitude (Deg),Longitude (Deg),Heading (Deg),Inertial Altitude (ft),Pitch (Deg),Roll (Deg),East Velocity (m/s),North Velocity (m/s),Ground Speed (knots)
20:21:50.16,40.6618787091223,22.5863591687129,-97.44873046875,647.958,-0.4888916015625,-0.9063720703125,-59.09375,1.2265625,114.820244213158
20:21:50.32,40.66188063696,22.5862390560405,-97.470703125,647.1378,-0.439453125,-1.0711669921875,-59.0859375,1.203125,114.804134998253
20:21:50.48,40.6618823133406,22.5861298398422,-97.4871826171875,647.1378,-0.4339599609375,-1.197509765625,-59.078125,1.1796875,114.788043588111
20:21:50.64,40.6618839059022,22.5860207074629,-97.49267578125,647.1378,-0.41748046875,-1.2908935546875,-59.0859375,1.140625,114.801727449454
20:21:50.80,40.6618854984638,22.5859115750836,-97.5091552734375,646.3176,-0.37353515625,-1.34033203125,-59.09375,1.1015625,114.815461837812
20:21:50.96,40.6618880130348,22.5857909594969,-97.49267578125,646.3176,-0.4010009765625,-1.3128662109375,-59.0703125,1.046875,114.768008435702
20:21:51.12,40.6618895217773,22.5856819109366,-97.481689453125,646.3176,-0.450439453125,-1.2249755859375,-59.046875,1.015625,114.721425830332
20:21:51.28,40.6618909467009,22.5855727785573,-97.4652099609375,646.3176,-0.4833984375,-1.1260986328125,-59.0234375,0.984375,114.674874515711
20:21:51.44,40.6618922878054,22.5854637299971,-97.4652099609375,645.4974,-0.4779052734375,-0.98876953125,-59.0390625,0.9453125,114.703983474924
20:21:51.60,40.6618937127289,22.5853437849627,-97.4981689453125,645.4974,-0.494384765625,-0.8514404296875,-59.0234375,0.9140625,114.672678165944
20:21:51.76,40.6618950538334,22.5852347364024,-97.547607421875,645.4974,-0.4998779296875,-0.714111328125,-59.0078125,0.8984375,114.641862568597
20:21:51.92,40.6618960596618,22.585122586538,-97.62451171875,645.4974,-0.5438232421875,-0.626220703125,-59.015625,0.8984375,114.657037372497
20:21:52.08,40.6618973169473,22.5850136217967,-97.7288818359375,644.6772,-0.472412109375,-0.626220703125,-59.03125,0.875,114.686703149436
20:21:52.24,40.6618986580518,22.5848936767623,-97.822265625,644.6772,-0.4449462890625,-0.6866455078125,-59.015625,0.84375,114.65546945939
20:21:52.40,40.6618998315182,22.5847847120211,-97.93212890625,644.6772,-0.384521484375,-0.823974609375,-58.9921875,0.8125,114.609092323483
20:21:52.56,40.6619009211657,22.5846756634608,-98.0364990234375,644.6772,-0.362548828125,-1.0272216796875,-58.9765625,0.7734375,114.577721888477
20:21:52.72,40.6619020108131,22.5845666987196,-98.1353759765625,644.6772,-0.32958984375,-1.351318359375,-58.984375,0.7421875,114.592117276031
20:21:52.89,40.6619031004605,22.5844468375042,-98.2122802734375,644.6772,-0.274658203125,-1.669921875,-58.9765625,0.65625,114.574962808887
20:21:53.04,40.6619041062889,22.5843389624104,-98.28369140625,644.6772,-0.2252197265625,-1.99951171875,-58.953125,0.609375,114.528458551054
20:21:53.21,40.6619048606602,22.5842299976692,-98.3056640625,644.6772,-0.1922607421875,-2.2247314453125,-58.9375,0.5390625,114.496776345638
20:21:53.36,40.6619056150314,22.584121116747,-98.3111572265625,644.6772,-0.142822265625,-2.3565673828125,-58.953125,0.4921875,114.526331794292
20:21:53.53,40.6619062855837,22.5840013393507,-98.272705078125,644.6772,-0.15380859375,-2.35107421875,-58.9375,0.4140625,114.494812953211
20:21:53.68,40.6619067884979,22.5838925422475,-98.2232666015625,644.6772,-0.2032470703125,-2.2027587890625,-58.90625,0.34375,114.433229630296
20:21:53.85,40.6619072914121,22.5837837451443,-98.1793212890625,644.6772,-0.24169921875,-1.9610595703125,-58.8671875,0.28125,114.356703594286
20:21:54.00,40.6619090516117,22.583674528946,-98.1683349609375,644.6772,-0.3131103515625,-1.7083740234375,-58.8515625,0.2421875,114.326013360742
20:21:54.16,40.6619093868879,22.5835549191877,-98.19580078125,644.6772,-0.4010009765625,-1.4886474609375,-58.8515625,0.203125,114.325726271328
20:21:54.32,40.661909638345,22.5834462059036,-98.2452392578125,644.6772,-0.41748046875,-1.3787841796875,-58.8359375,0.1484375,114.295055932709
20:21:54.48,40.661909805983,22.5833375764385,-98.3331298828125,644.6772,-0.4119873046875,-1.3238525390625,-58.8046875,0.1171875,114.234212769118
20:21:54.64,40.6619099736211,22.5832288631543,-98.426513671875,644.6772,-0.428466796875,-1.3128662109375,-58.8125,0.1015625,114.249332853158
20:21:54.80,40.6619101412591,22.5831094210341,-98.5308837890625,644.6772,-0.41748046875,-1.34033203125,-58.8203125,0.0703125,114.264420700242
20:21:54.96,40.6619100574401,22.5830000371977,-98.61328125,644.6772,-0.4229736328125,-1.373291015625,-58.796875,0.03125,114.218825507407
20:21:55.12,40.6619100574401,22.5828914915516,-98.6846923828125,644.6772,-0.4119873046875,-1.373291015625,-58.7578125,-0.015625,114.142930598283
20:21:55.28,40.6619099736211,22.5827828620865,-98.734130859375,644.6772,-0.46142578125,-1.3458251953125,-58.7421875,-0.0546875,114.112622888983
20:21:55.44,40.6619098898021,22.5826635037854,-98.756103515625,644.6772,-0.41748046875,-1.3128662109375,-58.7421875,-0.1015625,114.112743994565
20:21:55.60,40.661909722164,22.5825549581393,-98.7451171875,644.6772,-0.3790283203125,-1.2744140625,-58.734375,-0.1328125,114.097688576314
20:21:55.76,40.6619094707069,22.5824464963123,-98.7176513671875,644.6772,-0.340576171875,-1.2139892578125,-58.703125,-0.1875,114.037272317687
20:21:55.92,40.6619111470875,22.5823395432278,-98.7176513671875,644.6772,-0.3350830078125,-1.0931396484375,-58.703125,-0.203125,114.037373305699
20:21:56.08,40.6619108956304,22.5822201849266,-98.7615966796875,644.6772,-0.3240966796875,-0.9503173828125,-58.71875,-0.2109375,114.067779758407
20:21:56.24,40.6619105603543,22.5821117230996,-98.7725830078125,644.6772,-0.3240966796875,-0.8074951171875,-58.7109375,-0.234375,114.052775960077
20:21:56.40,40.6619102250782,22.5820033450915,-98.7615966796875,644.6772,-0.32958984375,-0.6536865234375,-58.671875,-0.265625,113.977152418699
20:21:56.56,40.661909805983,22.5818948832645,-98.7396240234375,645.4974,-0.46142578125,-0.472412109375,-58.65625,-0.2734375,113.946869341906
20:21:56.72,40.6619093868879,22.5817756926014,-98.7286376953125,645.4974,-0.4998779296875,-0.3350830078125,-58.65625,-0.28125,113.94694110029
20:21:56.89,40.6619089677927,22.5816673145934,-98.734130859375,645.4974,-0.5218505859375,-0.2032470703125,-58.6484375,-0.296875,113.931914312908
20:21:57.04,40.6619104765353,22.5815597747757,-98.756103515625,644.6772,-0.5438232421875,-0.10986328125,-58.6484375,-0.2890625,113.931838501799
20:21:57.21,40.6619100574401,22.5814513967677,-98.81103515625,644.6772,-0.5712890625,-0.0933837890625,-58.6328125,-0.2890625,113.901485745566
20:21:57.36,40.6619095545259,22.5813322061046,-98.8714599609375,644.6772,-0.538330078125,-0.2032470703125,-58.65625,-0.28125,113.94694110029
20:21:57.53,40.6619092192498,22.5812239119156,-98.953857421875,645.4974,-0.4998779296875,-0.384521484375,-58.65625,-0.2890625,113.947014879989
20:21:57.68,40.6619088001546,22.5811155339076,-99.041748046875,645.4974,-0.4559326171875,-0.63720703125,-58.640625,-0.3046875,113.916815787921
20:21:57.85,40.6619082972405,22.5810072397186,-99.1021728515625,645.4974,-0.50537109375,-0.94482421875,-58.6171875,-0.3359375,113.871618438409
20:21:58.00,40.6619104765353,22.5808856183036,-99.1131591796875,645.4974,-0.4559326171875,-1.197509765625,-58.609375,-0.375,113.856902349683
20:21:58.16,40.6619099736211,22.5807773241146,-99.1021728515625,645.4974,-0.46142578125,-1.42822265625,-58.609375,-0.421875,113.857521374002
20:21:58.32,40.6619093030688,22.5806690299256,-99.085693359375,645.4974,-0.4119873046875,-1.69189453125,-58.6015625,-0.46875,113.843037143662
20:21:58.48,40.6619086325166,22.5805608195556,-99.0582275390625,645.4974,-0.3570556640625,-2.04345703125,-58.578125,-0.515625,113.798273988947
20:21:58.64,40.6619079619643,22.5804526091857,-99.041748046875,645.4974,-0.3240966796875,-2.427978515625,-58.5546875,-0.5703125,113.753731133204
20:21:58.80,40.6619069561359,22.5803335861607,-99.0472412109375,646.3176,-0.2581787109375,-2.8399658203125,-58.5390625,-0.625,113.72446401043
20:21:58.96,40.6619026813653,22.580226213981,-99.085693359375,645.4974,-0.15380859375,-3.1695556640625,-58.5390625,-0.71875,113.726554117996
20:21:59.12,40.6619015917179,22.5801180874301,-99.11865234375,645.4974,-0.098876953125,-3.3343505859375,-58.5234375,-0.7890625,113.69796269236
20:21:59.28,40.6619004182515,22.5800100446982,-99.140625,645.4974,-0.1263427734375,-3.3123779296875,-58.4765625,-0.8515625,113.608614613139
20:21:59.44,40.661899077147,22.5798911893112,-99.1461181640625,645.4974,-0.1373291015625,-3.1365966796875,-58.4453125,-0.9296875,113.550227229737
20:21:59.60,40.6618976522234,22.5797832303984,-99.1571044921875,646.3176,-0.1702880859375,-2.911376953125,-58.4296875,-1.0234375,113.5229213544
20:21:59.76,40.6618962272999,22.5796752714855,-99.1790771484375,646.3176,-0.2691650390625,-2.6641845703125,-58.4140625,-1.09375,113.495047778916
20:21:59.92,40.661891281977,22.5795615290595,-99.228515625,647.1378,-0.41748046875,-2.43896484375,-58.3984375,-1.1171875,113.465561686643
20:22:00.08,40.6618895217773,22.5794428413106,-99.283447265625,647.1378,-0.5877685546875,-2.30712890625,-58.3828125,-1.1640625,113.436992803254
20:22:00.24,40.6618877615777,22.5793349662167,-99.3548583984375,647.1378,-0.714111328125,-2.2686767578125,-58.390625,-1.21875,113.454333544312
20:22:00.40,40.661886085197,22.5792271749419,-99.459228515625,647.1378,-0.7965087890625,-2.30712890625,-58.3828125,-1.265625,113.441097282021
